,CreditCardID,CardType,CardNumber,ExpMonth,ExpYear,ModifiedDate
36,37,Distinguish,55551349750603,7,2007,2014-03-23
37,38,Distinguish,55555420711099,7,2008,2013-09-24
38,39,Vista,11117546738833,5,2005,2013-09-13
39,40,Distinguish,55555841603354,4,2008,2013-08-25
40,41,Vista,11113757706549,7,2008,2014-03-22
41,42,Distinguish,55555053963314,3,2005,2013-07-01
42,43,SuperiorCard,33332773200339,3,2006,2013-09-03
43,44,ColonialVoice,77779171924785,6,2007,2013-10-10
44,45,Distinguish,55551983685258,4,2006,2014-04-28
45,46,SuperiorCard,33331306076760,12,2005,2013-12-07
46,47,Distinguish,55551566702747,3,2008,2013-06-07
47,48,SuperiorCard,33338676321482,3,2008,2014-05-21
48,49,SuperiorCard,33337796706807,6,2008,2013-07-09
49,50,ColonialVoice,77776755686502,5,2007,2014-06-15
50,51,SuperiorCard,33337051999262,3,2007,2014-03-07
51,52,Vista,11113124378865,3,2008,2013-04-23
52,53,ColonialVoice,77772212684661,5,2006,2014-04-04
53,54,Distinguish,55553252134216,12,2006,2013-09-04
54,55,ColonialVoice,77776585377718,5,2008,2013-07-31
55,56,Distinguish,55551526073305,7,2007,2014-03-16
56,57,ColonialVoice,77775318833306,10,2008,2013-12-23
57,58,Vista,11117610506869,12,2008,2014-02-07
58,59,Vista,11116857559490,9,2006,2013-06-30
59,60,Vista,11111063290504,1,2008,2012-06-14
60,61,Distinguish,55553521953614,4,2008,2014-05-15
61,62,SuperiorCard,33336076362820,1,2005,2014-04-01
62,63,Distinguish,55552834411554,4,2008,2013-12-06
63,64,ColonialVoice,77776280624762,2,2005,2013-10-13
64,65,Distinguish,55556135765472,4,2005,2013-10-13
65,66,ColonialVoice,77774204284216,8,2005,2010-01-29
66,67,SuperiorCard,33335516443528,12,2005,2013-10-27
67,68,SuperiorCard,33337185413753,3,2005,2013-02-06
68,69,ColonialVoice,77773035177913,6,2005,2012-05-17
69,70,Distinguish,55556217280260,3,2008,2014-02-07
70,71,Vista,11116167886495,7,2005,2013-10-13
71,72,Distinguish,55557166092204,7,2005,2013-08-13
72,73,Vista,11111097285749,1,2008,2013-11-23
73,74,Vista,11111875326223,11,2007,2014-06-26
74,75,SuperiorCard,33339024575831,11,2008,2013-09-22
75,76,SuperiorCard,33337723858818,5,2008,2011-05-31
76,77,Distinguish,55552491484622,8,2008,2009-02-24
77,78,SuperiorCard,33335304638114,8,2008,2014-01-25
78,79,Vista,11118018211102,7,2006,2012-06-17
79,80,ColonialVoice,77772340294400,11,2008,2013-11-19
80,81,Distinguish,55557892934839,6,2007,2012-11-17
81,82,Distinguish,55552580794715,11,2006,2012-05-30
82,83,Vista,11118036755505,4,2008,2013-10-29
83,84,Distinguish,55556891733409,1,2006,2014-03-29
84,85,ColonialVoice,77775989712942,4,2006,2014-05-27
85,86,SuperiorCard,33336703497121,1,2006,2013-08-26
86,87,Vista,11115536966870,8,2007,2012-03-03
87,88,Distinguish,55559505872957,1,2006,2014-04-20
88,89,SuperiorCard,33332972701054,4,2007,2013-04-18
89,90,Distinguish,55554129226031,11,2007,2013-07-13
90,91,SuperiorCard,33334379129505,1,2006,2013-07-30
91,92,SuperiorCard,33334394499932,10,2006,2014-02-11
92,93,Vista,11117160559398,2,2005,2013-09-25
93,94,Distinguish,55553576381881,5,2005,2014-03-06
94,95,Distinguish,55551358663947,5,2007,2014-03-06
95,96,SuperiorCard,33337600423179,4,2007,2014-01-17
96,97,ColonialVoice,77778908268190,12,2007,2014-05-02
97,98,SuperiorCard,33334689130342,9,2006,2011-12-06
98,99,Vista,11119575282326,12,2006,2013-08-28
99,100,ColonialVoice,77775942872654,9,2007,2014-04-05
100,101,ColonialVoice,77771155924577,12,2006,2012-06-29
101,102,ColonialVoice,77777905530572,12,2008,2013-12-05
102,103,Vista,11113359002897,10,2007,2011-06-21
103,104,ColonialVoice,77772996189531,11,2005,2013-07-12
104,105,Distinguish,55558305945748,4,2008,2014-01-07
105,106,SuperiorCard,33331614606503,10,2008,2013-06-30
106,107,ColonialVoice,77771467512075,12,2006,2014-06-18
107,108,Vista,11114226806511,4,2006,2014-05-23
108,109,Vista,11115965551854,8,2007,2014-05-31
109,110,Distinguish,55556494862795,12,2006,2013-08-07
110,111,SuperiorCard,33339067552676,4,2006,2013-11-14
111,112,Vista,11118290057240,3,2007,2014-05-12
112,113,Vista,11117863519103,2,2005,2012-07-21
113,114,SuperiorCard,33338624829973,8,2006,2013-08-18
114,115,Distinguish,55557331288433,1,2005,2013-08-28
115,116,Distinguish,55551539904121,5,2006,2014-02-28
116,117,ColonialVoice,77778258299726,8,2005,2013-11-30
117,118,Distinguish,55551810976353,10,2007,2013-09-02
118,119,Distinguish,55551090366683,1,2006,2009-02-06
119,120,Distinguish,55554797685048,1,2006,2013-05-27
120,121,Distinguish,55556497893044,8,2005,2014-05-05
121,122,ColonialVoice,77775805844194,9,2007,2014-06-11
122,123,Distinguish,55552551439953,8,2007,2013-09-02
123,124,ColonialVoice,77772054172195,12,2007,2013-09-19
124,125,ColonialVoice,77774261153866,6,2006,2014-05-01
125,126,SuperiorCard,33335620908839,11,2005,2013-07-31
126,127,ColonialVoice,77778668677894,4,2008,2012-09-12
127,128,Distinguish,55554615582353,8,2006,2014-05-25
128,129,Distinguish,55555625235288,12,2005,2013-10-17
129,130,Vista,11117013974027,7,2005,2013-08-06
130,131,SuperiorCard,33333327723729,6,2008,2012-02-25
131,132,SuperiorCard,33332924248632,1,2008,2014-06-01
132,133,Distinguish,55551500034619,8,2006,2013-07-29
133,134,ColonialVoice,77779074972626,8,2006,2014-01-03
134,135,ColonialVoice,77773476995492,4,2006,2014-03-04
135,136,Distinguish,55553177744050,9,2008,2013-02-05
136,137,Distinguish,55558265626436,12,2006,2013-04-30
137,138,Distinguish,55553993498931,7,2005,2013-09-28
138,139,SuperiorCard,33333046058215,6,2007,2013-11-03
139,140,SuperiorCard,33332539446148,1,2005,2013-06-23
140,141,Distinguish,55553385255792,8,2007,2013-08-17
141,142,Distinguish,55554148938512,6,2006,2014-04-08
142,143,SuperiorCard,33338956772123,5,2005,2012-11-03
143,144,Distinguish,55552263625446,3,2007,2014-01-18
144,145,ColonialVoice,77771579806358,1,2007,2013-10-27
145,146,SuperiorCard,33331510913646,1,2006,2014-01-18
146,147,SuperiorCard,33335009967295,1,2007,2013-10-03
147,148,SuperiorCard,33336376132542,8,2006,2013-02-16
148,149,ColonialVoice,77777697898447,11,2006,2012-08-07
149,150,Vista,11113974751980,12,2006,2013-06-29
150,151,SuperiorCard,33331897508563,12,2007,2012-04-21
151,152,SuperiorCard,33332580697839,10,2005,2013-07-12
152,153,Vista,11117820763787,1,2005,2013-08-18
153,154,ColonialVoice,77774677693254,8,2008,2013-09-16
154,155,ColonialVoice,77777310997414,3,2006,2013-11-06
155,156,Vista,11117316308667,4,2007,2011-12-19
156,157,Vista,11112727657519,6,2005,2011-09-20
157,158,SuperiorCard,33338418715127,6,2006,2014-05-09
158,159,SuperiorCard,33332180625781,1,2008,2012-11-26
159,160,Vista,11117586821468,12,2007,2014-03-11
160,161,Vista,11113066996675,3,2005,2011-07-01
161,162,SuperiorCard,33338226131303,8,2008,2014-03-31
162,163,Vista,11115931141608,12,2006,2014-01-29
163,164,ColonialVoice,77773467064957,5,2005,2014-05-25
164,165,ColonialVoice,77772090003580,2,2007,2013-10-07
165,166,Vista,11117354769916,9,2006,2013-10-11
166,167,SuperiorCard,33335313248723,11,2005,2014-03-31
167,168,SuperiorCard,33331366432094,1,2007,2012-05-01
168,169,Distinguish,55555490126754,10,2008,2012-06-14
169,170,ColonialVoice,77775004062798,6,2006,2012-03-10
170,171,Distinguish,55554843263520,8,2005,2013-09-05
171,172,SuperiorCard,33338669078698,11,2008,2012-08-24
172,173,SuperiorCard,33331831813839,10,2007,2012-10-15
173,174,ColonialVoice,77772993284666,7,2006,2014-01-12
174,175,ColonialVoice,77779842480754,1,2006,2012-07-20
175,176,SuperiorCard,33337664613331,10,2007,2013-11-27
176,177,Vista,11114493005589,9,2005,2012-09-09
177,178,Vista,11115247168390,6,2008,2013-03-07
178,179,SuperiorCard,33332143726640,3,2007,2013-08-19
179,180,Distinguish,55554119155738,12,2008,2012-05-30
180,181,ColonialVoice,77773813992363,12,2007,2011-07-01
181,182,Distinguish,55557755502133,3,2008,2013-03-24
182,183,Vista,11112359824733,3,2005,2014-01-01
183,184,SuperiorCard,33333348568848,10,2007,2013-11-03
184,185,Distinguish,55559237831556,3,2008,2014-03-04
185,186,Vista,11118301852338,10,2007,2013-11-04
186,187,Vista,11115020407589,2,2007,2014-03-01
187,188,ColonialVoice,77777688940363,12,2005,2013-09-13
188,189,SuperiorCard,33338902011178,1,2008,2014-04-25
189,190,Distinguish,55557767763037,7,2006,2014-01-17
190,191,SuperiorCard,33338434402110,7,2005,2013-12-20
191,192,SuperiorCard,33335647678654,6,2007,2013-11-23
192,193,Vista,11115472069769,12,2005,2013-04-30
193,194,ColonialVoice,77774510580754,8,2008,2012-06-30
194,195,Distinguish,55551871947166,9,2005,2012-08-28
195,196,Vista,11117010076386,7,2005,2014-05-22
196,197,Distinguish,55556931298047,5,2006,2012-04-18
197,198,SuperiorCard,33335007569167,7,2007,2014-01-23
198,199,SuperiorCard,33335500655096,5,2007,2013-11-10
199,200,Distinguish,55557032858138,4,2008,2014-04-28
200,201,ColonialVoice,77779670323108,5,2005,2014-06-14
201,202,SuperiorCard,33338461708438,12,2007,2013-10-16
202,203,Vista,11111448471115,11,2007,2014-03-01
203,204,Distinguish,55556333798473,4,2005,2011-07-01
204,205,Distinguish,55556779365170,4,2008,2012-08-15
205,206,Vista,11116739347695,7,2006,2013-10-30
206,207,Distinguish,55553665516951,1,2008,2013-08-06
207,208,Distinguish,55551100991160,11,2007,2012-04-12
208,209,Vista,11115652257330,11,2005,2014-06-11
209,210,SuperiorCard,33331045083655,7,2006,2013-10-03
210,211,SuperiorCard,33338100993388,6,2006,2013-10-18
211,212,SuperiorCard,33334516281208,7,2008,2014-03-14
212,213,SuperiorCard,33335468433685,9,2008,2011-12-30
213,214,SuperiorCard,33334836418984,4,2008,2013-09-19
214,215,Vista,11112748708059,3,2008,2011-11-18
215,216,Distinguish,55559713551424,7,2005,2011-11-05
216,217,SuperiorCard,33337773356896,10,2005,2012-08-04
217,218,Vista,11116900410151,12,2007,2014-02-25
218,219,SuperiorCard,33333000525927,2,2006,2014-01-07
219,220,Distinguish,55556544254316,12,2005,2009-01-15
220,221,Vista,11113174835553,10,2007,2014-02-24
221,222,ColonialVoice,77777095305642,3,2007,2013-08-14
222,223,SuperiorCard,33334363859950,8,2007,2011-10-12
223,224,Vista,11111290138301,5,2006,2013-04-27
224,225,Vista,11111419890999,10,2005,2012-02-10
225,226,SuperiorCard,33332281809376,4,2006,2013-11-08
226,227,Vista,11113025574459,10,2007,2013-06-30
227,228,Vista,11117706542802,7,2007,2014-04-14
228,229,SuperiorCard,33331049139565,9,2008,2014-06-29
229,230,Distinguish,55552612523111,7,2008,2013-07-31
230,231,Vista,11119558626152,11,2008,2012-02-03
231,232,Vista,11114626054731,10,2007,2014-05-21
232,233,ColonialVoice,77778363584843,1,2007,2014-05-07
233,234,ColonialVoice,77775702340665,3,2005,2013-09-29
234,235,ColonialVoice,77774153486314,2,2006,2014-05-04
235,236,ColonialVoice,77772024781018,12,2005,2013-07-27
236,237,SuperiorCard,33334524652098,4,2006,2014-03-31
237,238,ColonialVoice,77771764342795,12,2005,2013-09-25
238,239,Distinguish,55556382031773,10,2006,2013-05-23
239,240,Distinguish,55553353112217,5,2008,2013-11-21
240,241,ColonialVoice,77776406923553,5,2005,2014-06-16
241,242,SuperiorCard,33337414425957,10,2005,2011-05-31
242,243,Distinguish,55554566989903,3,2007,2014-02-23
243,244,SuperiorCard,33332518757403,7,2005,2014-02-05
244,245,ColonialVoice,77776250555783,8,2008,2013-09-27
245,246,SuperiorCard,33331574523505,3,2005,2011-08-12
246,247,SuperiorCard,33334358455811,10,2005,2014-01-17
247,248,Vista,11118545580995,9,2007,2014-04-11
248,249,SuperiorCard,33333022881251,9,2006,2013-10-14
249,250,ColonialVoice,77773099238780,2,2008,2013-10-20
250,251,SuperiorCard,33337187139676,3,2008,2012-01-20
251,252,SuperiorCard,33337077455871,8,2006,2013-12-15
252,253,SuperiorCard,33331912505385,10,2005,2013-04-29
253,254,Distinguish,55554276734483,11,2007,2014-03-17
254,255,SuperiorCard,33333122092398,6,2006,2014-04-06
255,256,Vista,11111578243413,12,2008,2014-05-16
256,257,Vista,11112463732121,10,2006,2013-10-10
257,258,ColonialVoice,77776185540781,6,2008,2013-01-05
258,259,SuperiorCard,33338971372491,4,2008,2013-12-06
259,260,SuperiorCard,33331806839744,7,2008,2009-02-23
260,261,ColonialVoice,77773186672230,12,2008,2011-10-08
261,262,SuperiorCard,33339710777722,4,2005,2014-05-28
262,263,SuperiorCard,33333857621376,12,2006,2012-08-08
263,264,Distinguish,55557055583187,6,2007,2013-12-18
264,265,Distinguish,55552836814693,4,2007,2013-10-04
265,266,ColonialVoice,77775631592757,1,2007,2012-06-14
266,267,SuperiorCard,33331311168762,11,2005,2011-05-31
267,268,SuperiorCard,33332211768137,2,2006,2011-09-16
268,269,SuperiorCard,33337121705928,8,2007,2011-07-04
269,270,SuperiorCard,33338784038789,7,2008,2012-08-01
270,271,ColonialVoice,77772097663028,9,2006,2013-07-02
271,272,SuperiorCard,33336884975462,8,2005,2014-03-01
272,273,ColonialVoice,77774350037576,11,2006,2014-03-03
273,274,Distinguish,55553286107663,9,2008,2013-01-19
274,275,Distinguish,55555327654649,5,2008,2014-03-13
275,276,SuperiorCard,33336128462841,12,2007,2013-11-21
276,277,ColonialVoice,77779052030234,5,2005,2013-08-26
277,278,Distinguish,55558803622808,9,2008,2014-01-16
278,279,Vista,11116531194989,5,2006,2013-11-26
279,280,Vista,11119478266157,6,2006,2013-12-07
280,281,Distinguish,55551340489507,5,2006,2012-01-20
281,282,ColonialVoice,77776406538214,12,2006,2013-09-14
282,283,SuperiorCard,33339429165111,9,2005,2014-01-28
283,284,SuperiorCard,33333582192961,4,2005,2014-01-11
284,285,Distinguish,55553915166444,6,2008,2013-08-14
285,286,ColonialVoice,77773615831491,8,2007,2013-06-22
286,287,ColonialVoice,77774957386427,12,2006,2012-02-13
287,288,SuperiorCard,33333339429635,6,2007,2013-12-16
288,289,Distinguish,55558798543734,6,2008,2013-08-19
289,290,SuperiorCard,33338430651749,7,2006,2013-09-05
290,291,Distinguish,55556726374092,7,2007,2012-05-11
291,292,Vista,11115248640937,5,2005,2012-11-08
292,293,Vista,11111949366286,1,2007,2014-02-16
293,294,Vista,11111418735493,3,2005,2013-12-15
294,295,SuperiorCard,33335549151443,9,2007,2014-02-20
295,296,SuperiorCard,33333589610564,10,2008,2013-10-16
296,297,SuperiorCard,33333361325378,11,2005,2013-07-11
297,298,ColonialVoice,77776298632346,10,2008,2013-10-20
298,299,Distinguish,55551842980137,4,2006,2011-08-01
299,300,Vista,11118661036033,5,2007,2013-10-31
300,301,Distinguish,55558471257051,12,2006,2014-04-07
301,302,SuperiorCard,33335006452683,4,2006,2013-05-02
302,303,Vista,11119770104261,9,2005,2013-09-03
303,304,ColonialVoice,77775921255907,4,2008,2013-10-10
304,305,Distinguish,55552297689520,7,2005,2014-06-22
305,306,Vista,11114534921033,8,2007,2013-09-26
306,307,SuperiorCard,33331161840943,1,2006,2014-05-06
307,308,SuperiorCard,33331460725625,6,2007,2013-12-06
308,309,Vista,11117945717058,3,2007,2014-03-23
309,310,Distinguish,55554029756638,11,2006,2011-08-08
310,311,SuperiorCard,33335435900165,11,2006,2013-08-16
311,312,SuperiorCard,33333463470760,3,2008,2014-06-08
312,313,Distinguish,55558016579760,7,2007,2013-10-28
313,314,ColonialVoice,77777527755354,1,2007,2014-04-06
314,315,ColonialVoice,77772840648082,10,2008,2012-05-07
315,316,ColonialVoice,77777479245209,12,2006,2013-07-08
316,317,ColonialVoice,77775217016118,1,2007,2014-05-27
317,318,SuperiorCard,33333795332504,12,2005,2012-07-04
318,319,SuperiorCard,33333588055875,3,2008,2011-08-01
319,320,Distinguish,55559136297933,9,2005,2013-07-16
320,321,Vista,11115874925443,7,2005,2012-09-29
321,322,Vista,11111465897576,12,2006,2014-05-01
322,323,Distinguish,55556491880971,2,2007,2013-08-18
323,324,SuperiorCard,33336623042951,2,2005,2009-02-03
324,325,Vista,11113130199296,12,2007,2013-04-13
325,326,Distinguish,55559209385215,7,2008,2014-06-25
326,327,Distinguish,55552963103062,7,2008,2012-05-07
327,328,SuperiorCard,33337184417741,10,2006,2014-03-01
328,329,SuperiorCard,33333601842727,8,2008,2012-04-23
329,330,Distinguish,55559400224010,2,2007,2013-05-04
330,331,Distinguish,55558186928969,11,2006,2013-11-03
331,332,SuperiorCard,33335351251421,6,2006,2012-03-16
332,333,Distinguish,55559281360112,5,2005,2012-06-07
333,334,Distinguish,55558268660616,6,2005,2014-03-23
334,335,Distinguish,55551133073710,2,2005,2013-08-04
335,336,SuperiorCard,33332970292118,7,2008,2012-06-30
336,337,Vista,11114703000162,5,2007,2013-03-06
337,338,ColonialVoice,77777663342481,9,2008,2014-05-05
338,339,Distinguish,55559475880011,12,2008,2014-03-31
339,340,Distinguish,55555375872116,10,2006,2013-08-04
340,341,Vista,11114437847221,3,2005,2012-12-11
341,342,ColonialVoice,77776266152345,1,2006,2013-12-23
342,343,Vista,11115701454851,7,2008,2013-12-03
343,344,Vista,11119674361490,9,2006,2013-10-10
344,345,Vista,11118110021923,6,2008,2013-10-10
345,346,SuperiorCard,33335534675723,3,2008,2013-12-24
346,347,SuperiorCard,33337539270232,9,2005,2013-09-08
347,348,Distinguish,55551813343426,11,2008,2013-09-08
348,349,ColonialVoice,77772412583693,9,2007,2012-12-01
349,350,ColonialVoice,77774617407824,5,2007,2013-07-17
350,351,ColonialVoice,77776250422618,12,2007,2012-10-19
351,352,Vista,11111038492177,5,2005,2012-09-23
352,353,Vista,11113953531031,11,2008,2013-12-31
353,354,SuperiorCard,33337208763627,6,2007,2013-12-03
354,355,SuperiorCard,33336233008911,9,2008,2013-06-30
355,356,Vista,11114068402158,10,2008,2013-06-27
356,357,SuperiorCard,33339094840927,1,2008,2014-02-12
357,358,SuperiorCard,33336454753250,11,2006,2012-05-27
358,359,ColonialVoice,77776472904565,10,2008,2012-09-14
359,360,ColonialVoice,77772894126334,7,2005,2014-03-21
360,361,SuperiorCard,33333660692169,4,2007,2014-01-21
361,362,Distinguish,55553141509249,3,2007,2014-06-05
362,363,ColonialVoice,77775139403469,8,2006,2014-04-04
363,364,Distinguish,55558521977541,9,2007,2014-04-09
364,365,Vista,11113304959304,8,2005,2013-08-12
365,366,Distinguish,55551373386979,6,2007,2014-03-25
366,367,ColonialVoice,77771658774976,10,2006,2012-08-05
367,368,SuperiorCard,33337996194943,8,2008,2013-11-17
368,369,Distinguish,55558962653402,7,2008,2012-10-04
369,370,Distinguish,55552920607882,10,2007,2012-03-30
370,371,Vista,11111423384823,2,2006,2012-07-31
371,372,Distinguish,55554640760212,6,2008,2014-02-08
372,373,SuperiorCard,33336635791537,10,2008,2012-01-26
373,374,Vista,11118111347101,2,2007,2014-05-04
374,375,Distinguish,55556238588767,5,2005,2014-03-16
375,376,SuperiorCard,33337864080360,7,2006,2013-05-07
376,377,Vista,11112840822877,1,2005,2012-07-14
377,378,Distinguish,55551023233383,4,2006,2014-02-20
378,379,SuperiorCard,33339866323726,2,2008,2014-03-31
379,380,ColonialVoice,77773081956952,1,2008,2011-11-18
380,381,SuperiorCard,33333904253150,3,2006,2013-07-15
381,382,Vista,11116204530793,5,2007,2012-09-28
382,383,Vista,11111586263693,5,2006,2012-06-25
383,384,ColonialVoice,77775243331802,8,2007,2014-01-25
384,385,SuperiorCard,33337196614989,4,2005,2011-09-01
385,386,SuperiorCard,33334561570452,6,2006,2014-04-25
386,387,ColonialVoice,77774965490722,10,2006,2013-11-03
387,388,Distinguish,55556406236712,2,2007,2013-07-25
388,389,Distinguish,55552532138087,10,2005,2013-10-30
389,390,Vista,11118753411058,7,2008,2014-04-11
390,391,ColonialVoice,77772463833333,7,2005,2014-02-24
391,392,Vista,11118562672576,5,2007,2013-10-29
392,393,Vista,11111627148699,4,2006,2014-03-05
393,394,Distinguish,55553008487911,6,2006,2009-02-19
394,395,ColonialVoice,77771418781901,6,2006,2008-11-25
395,396,SuperiorCard,33338589135498,2,2006,2014-06-28
396,397,SuperiorCard,33338702777274,5,2006,2013-08-08
397,398,SuperiorCard,33339957826041,8,2006,2012-06-20
398,399,Vista,11118730511214,7,2006,2013-07-18
399,400,Vista,11118201757324,6,2005,2011-10-19
400,401,Distinguish,55557648719357,9,2007,2014-01-12
401,402,ColonialVoice,77778707357207,11,2008,2013-05-22
402,403,ColonialVoice,77775786670948,7,2008,2012-09-07
403,404,SuperiorCard,33331106176532,3,2007,2013-09-17
404,405,Distinguish,55558266354107,9,2006,2013-08-07
405,406,SuperiorCard,33335217748519,1,2007,2014-02-21
406,407,SuperiorCard,33335551916395,9,2005,2014-02-23
407,408,Distinguish,55557158842836,11,2008,2013-02-08
408,409,ColonialVoice,77775137357162,5,2008,2013-02-21
409,410,SuperiorCard,33333509526283,5,2008,2013-02-15
410,411,Distinguish,55554447610983,7,2005,2014-01-30
411,412,SuperiorCard,33335082259833,8,2005,2011-09-18
412,413,SuperiorCard,33331033535413,9,2008,2009-01-14
413,414,Distinguish,55559538056514,1,2006,2013-11-07
414,415,Distinguish,55558432859672,1,2005,2014-01-20
415,416,Vista,11111082178644,1,2005,2013-12-20
416,417,SuperiorCard,33332618411673,11,2006,2014-05-17
417,418,ColonialVoice,77778332989405,7,2005,2011-12-29
418,419,SuperiorCard,33331076984905,5,2005,2013-07-28
419,420,Distinguish,55559570001876,5,2008,2012-10-15
420,421,ColonialVoice,77779612128963,12,2006,2013-11-28
421,422,ColonialVoice,77776996793043,1,2005,2014-05-07
422,423,Vista,11117112577020,9,2007,2013-08-03
423,424,SuperiorCard,33338284484471,4,2008,2012-09-30
424,425,Distinguish,55556721176222,3,2008,2013-10-18
425,426,ColonialVoice,77778120734237,10,2006,2013-08-13
426,427,Distinguish,55555671830825,11,2006,2014-03-03
427,428,Vista,11118509073610,1,2008,2014-01-01
428,429,Vista,11113753448296,3,2008,2013-05-28
429,430,Vista,11112967268286,12,2006,2012-05-16
430,431,Distinguish,55551104697014,6,2007,2013-10-26
431,432,Vista,11112271428752,11,2006,2013-11-23
432,433,Distinguish,55558193114492,4,2008,2014-04-25
433,434,Distinguish,55557834333264,3,2006,2014-03-22
434,435,ColonialVoice,77776894282434,2,2008,2014-04-28
435,436,Distinguish,55553348891821,1,2006,2014-05-18
436,437,Vista,11111193733108,11,2008,2014-05-28
437,438,Distinguish,55557080374180,12,2005,2014-03-15
438,439,Vista,11114647899275,2,2006,2011-04-25
439,440,ColonialVoice,77779666377448,2,2007,2013-08-06
440,441,SuperiorCard,33333816093380,9,2006,2012-11-14
441,442,Vista,11112618684802,7,2005,2013-01-01
442,443,ColonialVoice,77771350508466,4,2007,2013-06-15
443,444,Distinguish,55551030969773,3,2007,2014-06-12
444,445,SuperiorCard,33338753811862,2,2005,2012-11-30
445,446,Vista,11112035204232,8,2007,2014-02-02
446,447,SuperiorCard,33336102961463,8,2007,2014-01-30
447,448,Vista,11115686139754,12,2007,2014-04-08
448,449,SuperiorCard,33335078009393,9,2006,2014-02-20
449,450,SuperiorCard,33332611348318,1,2006,2013-08-20
450,451,SuperiorCard,33334686765658,6,2005,2012-06-30
451,452,ColonialVoice,77775083078731,8,2006,2013-07-01
452,453,SuperiorCard,33338203979446,8,2007,2012-03-29
453,454,Distinguish,55555043237607,12,2007,2013-10-16
454,455,SuperiorCard,33332183266192,3,2006,2013-11-11
455,456,Distinguish,55557142435353,6,2006,2013-10-18
456,457,ColonialVoice,77777548924657,5,2005,2013-08-04
457,458,Distinguish,55553370468042,8,2005,2014-02-09
458,459,Distinguish,55551901555401,9,2007,2014-03-25
459,460,Distinguish,55555191562983,6,2006,2013-11-11
460,461,SuperiorCard,33337688484350,10,2006,2013-11-25
461,462,SuperiorCard,33331674576298,6,2006,2014-04-05
462,463,Vista,11119132324496,3,2008,2013-10-29
463,464,SuperiorCard,33333832543745,12,2007,2013-12-16
464,465,Distinguish,55552532063814,2,2005,2013-08-12
465,466,SuperiorCard,33338832686616,9,2005,2012-09-05
466,467,Vista,11117786482300,7,2006,2014-04-04
467,468,ColonialVoice,77772148623166,10,2006,2014-05-05
468,469,SuperiorCard,33338487053577,8,2006,2008-12-08
469,470,Vista,11119984033310,6,2008,2014-04-14
470,471,Distinguish,55557037877744,11,2005,2013-10-31
471,472,ColonialVoice,77775569039939,4,2007,2013-07-14
472,473,Distinguish,55559166090565,3,2007,2013-09-06
473,474,SuperiorCard,33336927304298,6,2006,2014-04-27
474,475,SuperiorCard,33335900275155,2,2007,2014-06-30
475,476,Distinguish,55559090501662,3,2007,2014-01-09
476,477,Distinguish,55552304141831,4,2007,2014-04-07
477,478,Distinguish,55552693706014,7,2007,2013-09-04
478,479,SuperiorCard,33334025587335,1,2008,2013-12-17
479,480,Distinguish,55554367752780,8,2007,2012-04-23
480,481,SuperiorCard,33332717078038,9,2007,2012-08-13
481,482,Vista,11112604867030,9,2006,2013-01-21
482,483,Distinguish,55551964548972,8,2007,2013-11-01
483,484,SuperiorCard,33333203219095,7,2006,2013-08-15
484,485,SuperiorCard,33334129214566,12,2007,2013-10-02
485,486,Distinguish,55558314539187,6,2006,2012-05-23
486,487,Vista,11116231720012,8,2005,2014-04-12
